registry_id,date,hypothesis,condition,runner_flags,panel_file,survey_file,runs,metric_tv_mean,metric_close_count,metric_top_match_share,result,decision,notes
R001,2026-09-13,"baseline: matched 600, temperature 0.2, reasoning off, one call per persona, concept text not sent (parser fix landed after these runs)",as run 2026-09-10; compared after dropping S3=No personas,--reasoning-effort off --temperature 0.2 --run-tag matched,,Neo Smart Living — Survey_HighMedPriority.md,20260910T193826Z_deepseek-v4-pro-0813_r1_matched;20260910T194609Z_deepseek-v4-pro-0813_r2_matched;20260910T195308Z_qwen3.7-plus_r1_matched;20260910T200019Z_qwen3.7-plus_r2_matched,0.3981,12,0.4098,,,real_comparison/20260913T0508Z; 36 scored questions per run
R002,2026-09-13,concept and stimulus text reaching the model changes the concept questions (Q9A-Q14) and Q1,"s1 (100 personas, new matched draw with detached-house screen), both models x 2 repeats, 2026-09-17",--reasoning-effort off --temperature 0.2 --run-tag matched,6_subset_of_dataset_plus_the_all_600_persona_data/panel_s1_ids.txt,Neo Smart Living — Survey_HighMedPriority.md,20260917T183553Z_deepseek-v4-pro-0813_r1_p100_s1-baseline;20260917T183824Z_deepseek-v4-pro-0813_r2_p100_s1-baseline;20260917T184057Z_qwen3.7-plus_r1_p100_s1-baseline;20260917T184202Z_qwen3.7-plus_r2_p100_s1-baseline,0.3764,8,0.4930,"mean TV 0.40 DeepSeek / 0.35 Qwen (R001: 0.41 / 0.39); top-match 50%/49% (R001: 51%/31%); concept appeal Q9A-Q13A TV fell 0.05-0.33 on Qwen, mixed on DeepSeek; Q1/Q2 still no top-box; S3 drop 0-2 of 100 (was 31%)",new baseline for s1; every later condition is compared against these four runs,real_comparison/20260917T1843Z_s1-baseline; billed $2.35; concept text and state/region now in the prompt
R003,2026-09-13,higher temperature (0.8 for everyone) widens the answer spread toward the real distribution,"s1, --temperature 0.8, both models x 2 repeats, 2026-09-17",--temperature 0.8,6_subset_of_dataset_plus_the_all_600_persona_data/panel_s1_ids.txt,Neo Smart Living — Survey_HighMedPriority.md,20260917T185142Z_deepseek-v4-pro-0813_r1_p100_s1-temp08;20260917T185502Z_deepseek-v4-pro-0813_r2_p100_s1-temp08;20260917T185732Z_qwen3.7-plus_r1_p100_s1-temp08;20260917T185844Z_qwen3.7-plus_r2_p100_s1-temp08,0.3664,8,0.4930,no effect on spread: within-question SD 0.62->0.64 (DeepSeek) 0.79->0.78 (Qwen) vs ~1.3 real; top-2-box 19%->20% / 14%->13%; Q1 unchanged; mean TV 0.40->0.38 / 0.35->0.35; only repeat agreement dropped (83%->65% DeepSeek),rejected: temperature is not the cause of the scale compression; keep 0.2,real_comparison/20260917T1910Z_s1-temp08; billed $1.72; compared against R002 on the same 100 personas
R004,2026-09-13,a reason per answer plus a third-model judge produces more plausible answers (Dr. Lin STAMP loop),"s1, baseline settings + --reason-per-answer, DeepSeek and Qwen x 1 repeat; then judge_reasons.py with z-ai/glm-5 picking the better-reasoned answer per persona x question, 2026-09-17",--reason-per-answer; judge_reasons.py --judge-model z-ai/glm-5,6_subset_of_dataset_plus_the_all_600_persona_data/panel_s1_ids.txt,Neo Smart Living — Survey_HighMedPriority.md,20260917T195931Z_deepseek-v4-pro-0813_r1_p100_s1-reasons;20260917T200500Z_qwen3.7-plus_r1_p100_s1-reasons;20260917T200856Z_glm-5-judge_p100_s1-judged,0.3518,2,0.5000,"reasons: money/affordability cited in 72% (DeepSeek) / 97% (Qwen) of Q1=1 reasons, always the $23,000 against income, mortgage or a deferred repair from the story; judge picked DeepSeek 2247 / Qwen 1653 and rewards the more concrete financial constraint; judged run mean TV 0.35 (vs 0.37 / 0.36 for the reasons runs, 0.40 / 0.35 baseline), top-match 50%, Q1!=Q2 rises to 15% only because A and B are mixed per question; rho(income, Q1) 0.70, 4-5 share 21%, judged Q1 = 42/47/11/0/0","kept as evidence, not as a fix: the reasons name the cue (price vs the persona's finances); the judge does not move the distribution because it judges plausibility with the same affordability lens",real_comparison/20260917T2028Z_s1-reasons-judged (+ spread_diagnostics.csv); billed $1.13 generation + $1.02 judge
R005,2026-09-13,a share of critical / disagreeable personas moves Q1-Q2 and the barrier matrix toward the real spread,skeptical 30% + pragmatic 20% vs none,"--trait-mix skeptical:0.3,pragmatic:0.2",match_600_persona/panel_150_ids.txt,Neo Smart Living — Survey_HighMedPriority.md,,,,,,,answers_wide.csv trait column lets us split the comparison by trait
R006,2026-09-13,the sponsor goal and objection fields leak into the answers (respondents never see them),"s1, --no-sponsor-context (goal, pain points, barriers, objections removed; product facts kept), both models x 2 repeats, temperature 0.2, 2026-09-17",--no-sponsor-context,6_subset_of_dataset_plus_the_all_600_persona_data/panel_s1_ids.txt,Neo Smart Living — Survey_HighMedPriority.md,20260917T193348Z_deepseek-v4-pro-0813_r1_p100_s1-nosponsor;20260917T193631Z_deepseek-v4-pro-0813_r2_p100_s1-nosponsor;20260917T193910Z_qwen3.7-plus_r1_p100_s1-nosponsor;20260917T194022Z_qwen3.7-plus_r2_p100_s1-nosponsor,0.3775,8,0.5070,"no effect: Q1 51/43/6 -> 56/39/5 (DeepSeek), 37/58/2 -> 39/56/2 (Qwen); Q6 'cost' still 98% / 87%; Q1!=Q2 0%; likert SD 0.62->0.63 / 0.79->0.77; answers 4-5 fell slightly (19%->15% / 14%->13%); mean TV 0.40->0.39 / 0.35->0.36; top-match 50%->51% / 49%->50%","rejected: the sponsor text is not what pushes the answers negative; the models reach 'too expensive' from the $23,000 price and the persona's income on their own",real_comparison/20260917T1941Z_s1-nosponsor (+ spread_diagnostics.csv); billed $1.58
R007,2026-09-13,answering all 39 items in one call locks Q1 = Q2; slicing the survey breaks the lockstep,"s1, --questions-per-call 10 (4 calls per persona), both models x 2 repeats, temperature 0.2, 2026-09-17",--questions-per-call 10,6_subset_of_dataset_plus_the_all_600_persona_data/panel_s1_ids.txt,Neo Smart Living — Survey_HighMedPriority.md,20260917T192047Z_deepseek-v4-pro-0813_r1_p100_s1-qpc10;20260917T192449Z_deepseek-v4-pro-0813_r2_p100_s1-qpc10;20260917T192805Z_qwen3.7-plus_r1_p100_s1-qpc10;20260917T192947Z_qwen3.7-plus_r2_p100_s1-qpc10,0.3943,8,0.4445,"partial: the early-stance coupling weakens (r(Q1, concept likelihood) 0.93->0.77 DeepSeek, 0.89->0.75 Qwen) and answers of 4-5 rise 19%->28% / 14%->25%, all of it on the concept/value questions in slices 2-3; Q1 and Q2 sit in the same slice and stay locked (Q1!=Q2 0-0.5%), Q1 shares unchanged, likert SD 0.62->0.64 / 0.79->0.83 vs ~1.3 real; mean TV 0.40->0.40 / 0.35->0.39 (Qwen worse: it now over-picks 4 on Q13A/Q15); repeat agreement unchanged (85-88%)","supported as a mechanism (generation structure couples answers), not as a fix: no improvement in distance to the real 600; test a smaller slice that separates Q1 from Q2 before deciding",real_comparison/20260917T1931Z_s1-qpc10 (+ spread_diagnostics.csv); billed $2.21; ~2x tokens per persona
R008,2026-09-13,American vs European models differ on the HOA question (Q24) and permit items (Q15),mistral-large vs deepseek/qwen on the panel,--models mistralai/mistral-large-2411,match_600_persona/panel_150_ids.txt,Neo Smart Living — Survey_HighMedPriority.md,,0.3297 gemini / 0.3535 mistral / 0.3595 gpt-5-mini,,,"SUPPORTED, and the arm is the best on record. google/gemini-3-flash-preview reaches mean TV 0.3297 and mean JS 0.1476 over 34 items, below every previous arm on this panel (best prior: Qwen baseline 0.3482, Qwen temp08 0.3527, DeepSeek temp08 0.3826), and beats both Chinese models on 17 of 34 questions. Q1 != Q2 is 20% (Gemini) and 21% (GPT-5-mini) against 0.5% (DeepSeek) and 0.0% (Qwen). Q15 permit appeal 4-5: real 44.8%, Mistral 69%, Gemini 40%, GPT-5-mini 23%, DeepSeek 13.5%, Qwen 6.5%. Q24 HOA = Yes: real 21.3%, every model 1-6.5%. rho(income, Q1) stays high everywhere: 0.75 / 0.74 / 0.71",,"no code change; model id only | scored by phase3/score_vs_real_marginals.py over 34 items, reading the real marginals from the 2026-09-17 compare_real folder; it reproduces compare_real's per-question TV to within 0.0001"
R009,2026-09-17,per-persona temperature (uniform 0.0-0.8) widens the answer spread toward the real distribution,"s1, --temperature 0.4 --temperature-jitter 0.4, both models x 2 repeats, 2026-09-17",--temperature 0.4 --temperature-jitter 0.4,6_subset_of_dataset_plus_the_all_600_persona_data/panel_s1_ids.txt,Neo Smart Living — Survey_HighMedPriority.md,20260917T185956Z_deepseek-v4-pro-0813_r1_p100_s1-jitter04;20260917T190532Z_deepseek-v4-pro-0813_r2_p100_s1-jitter04;20260917T190818Z_qwen3.7-plus_r1_p100_s1-jitter04;20260917T190925Z_qwen3.7-plus_r2_p100_s1-jitter04,0.3739,8,0.4861,no effect on spread: SD 0.62->0.64 / 0.79->0.76; top-2-box unchanged; Q1 unchanged; mean TV 0.40->0.40 / 0.35->0.35,"rejected, same as R003",split out of R003; real_comparison/20260917T1910Z_s1-jitter04; billed $1.36
R010,2026-09-17,DIAGNOSTIC (no run): the models answer purchase interest as an affordability calculation from income; real interest is nearly independent of income,s1 baseline runs (R002) split by household income; real Q6 by the real income bands; no API,,,,,,,,supported: purchase interest is a near-deterministic function of income in both models; the real 600 show almost no income gradient,"next: R004 (reasons) to read the cue the models use; then test an instruction that separates 'interest' (appeal) from 'likelihood' (affordability) — as an explanation test, not tuned to the real shares","Spearman rho(income, Q1): real 0.10, DeepSeek 0.67, Qwen 0.72. Under $50k: real 43% '1' and 18% '4-5'; DeepSeek 94% '1', 0% '4-5'. $150k+: real $100k+ 28% '4-5'; DeepSeek 0%, Qwen 20%. rho(age, Q1): real -0.27, DeepSeek -0.43. Two effects: an income gradient ~7x steeper than real, and a ceiling at 3 for most personas regardless of income. Q1 and Q2 correlate identically with income (0.67/0.67): the model treats 'how interested' as 'could you buy'. Points at R004 (reasons will show the cue) and at a construct-clarifying instruction rather than temperature/framing."
